ticker,name,as_of,sector,is_held,rank,execution_continuity,execution_rationale,pension_flow_score,pension_rationale,investment_purpose_flag,investment_purpose_rationale,policy_dependency_flag,policy_dependency_rationale,cecs_computed,scored_by,scored_at,status,notes,execution_sources,pension_sources,investment_purpose_sources,ai_suggested_at,ai_report_name,ai_approved_at
036530,SNT홀딩스,2026-07-16,holding,True,1,0.65,"2025년 이익배당금 439.76억원(전년비 +90.08%), 배당성향 33.85%로 조특법 고배당요건 충족. 3차 상법개정(신규 자사주 1년/기존 1년6개월 내 소각의무화)에 따라 자사주 소각 검토 기업으로 거론되나 소각 완료 공시는 미확인.

출처:
[SNT홀딩스, 주당 750원 분기배당 실시 - 주주경제신문](https://www.s-econ.kr/news/articleView.html?idxno=4001982)
[SNT홀딩스 정기공시 - DART](https://dart.fss.or.kr/navi/searchNavi.do?naviCrpCik=00225159&naviCrpNm=SNT%ED%99%80%EB%94%A9%EC%8A%A4&naviCode=A002)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: SNT홀딩스(036530) 국민연금 대량보유상황보고서 DART 2026; 국민연금 최신(2026) 지분율 미확인. 검색된 자료는 2021.1 기준 4.19%로 시점 불일치. 최대주주측(최평규 외) 지분 64.1%(2026, 6만300주 감소)는 확인되나 연기금과 무관.

출처:
[SNT홀딩스 최대주주 지분 64.1% - 디지털투데이](https://www.digitaltoday.co.kr/news/articleView.html?idxno=635505)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.60,"고배당요건 충족 + 상법개정 자사주 소각 의무화 수혜 예상으로 저PBR 지주사 밸류업 테마 부합. 지주사 특성상 자회사 실적 연동 리스크 존재.

출처:
[한국거래소 기업 밸류업 프로그램 백서](https://kind.krx.co.kr/external/dst/valueupReference/11359/)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,51.50,operator,2026-07-17,final,,"[SNT홀딩스, 주당 750원 분기배당 실시 - 주주경제신문](https://www.s-econ.kr/news/articleView.html?idxno=4001982)
[SNT홀딩스 정기공시 - DART](https://dart.fss.or.kr/navi/searchNavi.do?naviCrpCik=00225159&naviCrpNm=SNT%ED%99%80%EB%94%A9%EC%8A%A4&naviCode=A002)",[SNT홀딩스 최대주주 지분 64.1% - 디지털투데이](https://www.digitaltoday.co.kr/news/articleView.html?idxno=635505),[한국거래소 기업 밸류업 프로그램 백서](https://kind.krx.co.kr/external/dst/valueupReference/11359/),2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
006040,동원산업,2026-07-16,consumer,True,2,0.80,"2024.8 자사주 7% 소각 후 2026.5.2 잔량 전체(22.5%) 감자소각 완료. 연1회→반기배당 전환, 배당성향 17.6%→30%까지 점진 확대 계획 공시. 실행 완료 사례로 execution 축에서 높은 편.

출처:
[동원산업, 밸류업 계획 발표…배당성향 30%까지 확대 - 전자신문](https://www.etnews.com/20241127000059)
[동원산업 현금·현물 배당 결정 - KRX 공시](https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20250808000265&docno=)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: 동원산업(006040) 국민연금 대량보유상황보고서 DART 2026; 검색 결과에 국민연금 구체 지분율 정보 없음.

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.70,"자사주 완전소각(22.5%)은 밸류업 프로그램 중 실행 강도가 높은 사례로 평가되며 저PBR 지주사·수산업 실물자산 보유 테마에 부합.

출처:
[배당금 쏠쏠하네…동원산업 - 한국경제](https://www.hankyung.com/article/202409124934i)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,60.50,operator,2026-07-17,final,,"[동원산업, 밸류업 계획 발표…배당성향 30%까지 확대 - 전자신문](https://www.etnews.com/20241127000059)
[동원산업 현금·현물 배당 결정 - KRX 공시](https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20250808000265&docno=)",확인 불가,[배당금 쏠쏠하네…동원산업 - 한국경제](https://www.hankyung.com/article/202409124934i),2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
005830,DB손해보험,2026-07-16,insurance,True,3,0.75,"2025년 이사회 결의로 자사주 141.6만주 소각(6년만). 배당성향 25.7%, DPS 전년비 +11.8%(2026년 8,800원 추정), 배당소득 분리과세 요건 충족 설계. 2028년까지 주주환원율 35% 목표.

출처:
[DB손보, 자사주 141만주 소각 - DealSiteTV](https://news.dealsitetv.com/articles/163197)
[DB손보 배당 확대 밸류업 - CEOSCOREDAILY](https://www.ceoscoredaily.com/page/view/2026020413271232596)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: DB손해보험(005830) 국민연금 대량보유상황보고서 DART 2026; 검색 결과에 국민연금 구체 지분율 정보 없음. 외국인 매수세 유입 언급만 확인.

출처:
[DB손보, 고배당 매력에 밸류업 기대감에도 주가 약세](https://alphabiz.co.kr/news/view/1065580116182409)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.72,"고배당·자사주 소각 병행 + 2028년 주주환원율 35% 목표 제시로 손보업종 밸류업 대표 사례. 순익 감소 국면에서도 배당 유지(4,600억원)는 실행 의지로 해석되나 이익 변동성 리스크 상존.

출처:
[DB손보, 밸류업 주력…순익 감소에도 배당 4600억 - 블로터](https://v.daum.net/v/bD8FAjx2RS)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,59.10,operator,2026-07-17,final,,"[DB손보, 자사주 141만주 소각 - DealSiteTV](https://news.dealsitetv.com/articles/163197)
[DB손보 배당 확대 밸류업 - CEOSCOREDAILY](https://www.ceoscoredaily.com/page/view/2026020413271232596)","[DB손보, 고배당 매력에 밸류업 기대감에도 주가 약세](https://alphabiz.co.kr/news/view/1065580116182409)","[DB손보, 밸류업 주력…순익 감소에도 배당 4600억 - 블로터](https://v.daum.net/v/bD8FAjx2RS)",2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
271560,오리온,2026-07-16,consumer,True,4,0.78,"2024~2026 3개년 연결배당성향 20%↑ 정책 공시. 오리온(사업회사) DPS 2,500→3,500원(+40%), 오리온홀딩스 DPS 800→1,100원(+37%). 오리온홀딩스 자사주 248.877만주(발행주식 3.97%) 전량 소각 결정.

출처:
[오리온홀딩스, 자사주 248만주 연내 소각 - 뉴스토마토](https://www.newstomato.com/readnews.aspx?no=1294747)
[오리온 기업가치제고 계획 공시 - 다음금융](https://m.finance.daum.net/quotes/A001800/news/disclosure/20260326037134)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.55,"국민연금공단 지분율 8.1%(2026년 기준)로 확인됨. 다만 최근 수급 방향(순매수/순매도) 데이터는 미확인.

출처:
[오리온 주주환원 확대와 해외 성장으로 밸류업 가속 - 허핑턴포스트코리아](https://www.huffingtonpost.kr/article/258040)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.75,"해외(중국·베트남) 실적 성장 기반 + 배당·자사주 소각 병행으로 소비재 밸류업 대표주 성격. 내수 부진 리스크는 해외 비중 확대로 상쇄 중이라는 평가.

출처:
[오리온 (090430) 기업분석 - 한화투자증권](https://www.hanwhawm.com/main/common/common_file/fileView.cmd?category=2&depth3_id=anls1&key1=65473&key2=1&bldid=bbs10031)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,62.70,operator,2026-07-17,final,,"[오리온홀딩스, 자사주 248만주 연내 소각 - 뉴스토마토](https://www.newstomato.com/readnews.aspx?no=1294747)
[오리온 기업가치제고 계획 공시 - 다음금융](https://m.finance.daum.net/quotes/A001800/news/disclosure/20260326037134)",[오리온 주주환원 확대와 해외 성장으로 밸류업 가속 - 허핑턴포스트코리아](https://www.huffingtonpost.kr/article/258040),[오리온 (090430) 기업분석 - 한화투자증권](https://www.hanwhawm.com/main/common/common_file/fileView.cmd?category=2&depth3_id=anls1&key1=65473&key2=1&bldid=bbs10031),2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
005440,현대지에프홀딩스,2026-07-16,holding,True,5,0.70,"2025년 주주환원율 82.5%, 중간배당 101억원 이행. 2026년 결산+중간배당 합산 주당 441원 이상 목표, 자기주식 약 1,000억원 매입·소각 계획.

출처:
[현대지에프홀딩스 2025년 주주환원율 82.5% - 디지털투데이](https://www.digitaltoday.co.kr/news/articleView.html?idxno=663865)
[현대百그룹, 반기 배당·자사주 소각 추진 - 전자신문](https://www.etnews.com/20241108000139)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: 현대지에프홀딩스(005440) 국민연금 대량보유상황보고서 DART 2026; 국민연금의 구체적 지분율 미확인. 다만 국민연금이 롯데지주·CJ 등 개정상법 예외 인정에 반대 입장을 표명한 맥락 기사만 확인 — 현대지에프홀딩스 직접 지분 데이터 아님.

출처:
[현대지에프홀딩스 리포트 브리핑 - 흥국증권/뉴스핌](https://www.newspim.com/news/view/20260623000153)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.65,"우량 자회사(현대백화점 등) 배당수입 확대 + 지분투자수익률 4%↑ 목표로 지주사 저평가 해소 테마. 흥국증권 목표가 20,000원 제시(거버넌스 선진화 재평가 기대).

출처:
[현대지에프홀딩스 목표가 20,000원 - 흥국증권](https://www.newspim.com/news/view/20260623000153)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,55.00,operator,2026-07-17,final,,"[현대지에프홀딩스 2025년 주주환원율 82.5% - 디지털투데이](https://www.digitaltoday.co.kr/news/articleView.html?idxno=663865)
[현대百그룹, 반기 배당·자사주 소각 추진 - 전자신문](https://www.etnews.com/20241108000139)",[현대지에프홀딩스 리포트 브리핑 - 흥국증권/뉴스핌](https://www.newspim.com/news/view/20260623000153),"[현대지에프홀딩스 목표가 20,000원 - 흥국증권](https://www.newspim.com/news/view/20260623000153)",2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
021240,코웨이,2026-07-16,consumer,True,6,0.85,"총주주환원율 20%→40%로 2배 확대(2027년까지 적용). 2024년 자사주 189.0486만주(2.56%) 전량 소각 + 연초 취득 500억원 규모 자사주도 연내 전량 소각 계획. 분기배당 도입, 1분기 DPS 700원.

출처:
[코웨이, 주주환원정책 대폭 확대 - Coway 뉴스룸](https://company.coway.com/newsroom/press/714)
[코웨이, 깜깜이 배당 없애고 거버넌스 개선 - 더퍼블릭](https://www.thepublic.kr/news/articleView.html?idxno=306643)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: 코웨이(021240) 국민연금 대량보유상황보고서 DART 2026; 검색 결과에 국민연금 구체 지분율 정보 없음.

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.82,"2026 한국거래소 '밸류업 우수기업' 선정(금융위원장상) — 정책 당국 공식 인증 사례. 배당소득 분리과세 요건 충족 고배당 정책까지 병행해 실행력·목적 부합도 모두 높음.

출처:
[코웨이, 2026 밸류업 우수기업 선정 - 청년일보](https://www.youthdaily.co.kr/news/article.html?no=219796)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,66.10,operator,2026-07-17,final,,"[코웨이, 주주환원정책 대폭 확대 - Coway 뉴스룸](https://company.coway.com/newsroom/press/714)
[코웨이, 깜깜이 배당 없애고 거버넌스 개선 - 더퍼블릭](https://www.thepublic.kr/news/articleView.html?idxno=306643)",확인 불가,"[코웨이, 2026 밸류업 우수기업 선정 - 청년일보](https://www.youthdaily.co.kr/news/article.html?no=219796)",2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
030190,NICE평가정보,2026-07-16,data_service,True,7,0.60,"2026~2028년 배당성향 약 35% 유지 계획 공시. 다만 자사주 소각 등 추가 실행 조치는 검색 결과에서 확인되지 않음 — 배당 정책 유지 수준의 실행으로 판단.

출처:
[NICE평가정보 주주환원정책 - 주주참여 경영정보 알림마당](http://www.niceinfo.co.kr/ir/Shareholder-partcptn_2.nice)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: NICE평가정보(030190) 국민연금 대량보유상황보고서 DART 2026; 검색 결과에 국민연금 구체 지분율 정보 없음.

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: NICE평가정보(030190) 밸류업 프로그램 편입 목적 IR 자료; 신용평가/데이터 서비스업 특성상 밸류업 테마 편입 논리(저PBR·지배구조 개선) 근거 자료 미확인. 안정적 배당주 성격 외 투자목적 확인 필요.

출처:
[NICE평가정보 - 현금·현물 배당 결정 KRX 공시](https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20240306000359&docno=)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,46.50,operator,2026-07-17,final,,[NICE평가정보 주주환원정책 - 주주참여 경영정보 알림마당](http://www.niceinfo.co.kr/ir/Shareholder-partcptn_2.nice),확인 불가,[NICE평가정보 - 현금·현물 배당 결정 KRX 공시](https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20240306000359&docno=),2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
002380,KCC,2026-07-16,materials,True,8,0.88,"보유 자사주의 77%를 내년 9월까지 소각 계획 발표 — 매우 공격적인 소각 규모. 중장기 환원 프로그램·IR 고도화 병행.

출처:
[자사주 77% 소각한다는 저평가 이 회사 - 나남뉴스/다음](https://v.daum.net/v/HLbKhyztgD?f=p)
[밸류업 정책 타고…KCC·KT&G·파마리서치 - 아시아투데이](https://www.asiatoday.co.kr/kn/view.php?key=20260205010002099)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"국민연금공단 지분율 2026.4.29 기준 10.16%(87.3433만주)→이후 9.97%(85.6429만주)로 소폭 감소. 대규모 이탈은 아니나 순매도 방향성 확인.

출처:
[국민연금공단, KCC 주식 1만7004주 감소…지분율 9.97% - datatooza](https://www.datatooza.com/article/20260522145135533352ef3995c6_80)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.70,"자사주 77% 소각은 PBR 개선을 명시적 목표로 한 구조적 환원 사례로 밸류업 프로그램 취지에 부합. 건자재/화학 업황 민감도는 리스크.

출처:
[국민연금 5월 지분 변동 공시](https://www.instagram.com/p/DZJXeZOieeM/)

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,63.70,operator,2026-07-17,final,보유·청산판단 재료 (편입 정당화 아님; grade=Reject),"[자사주 77% 소각한다는 저평가 이 회사 - 나남뉴스/다음](https://v.daum.net/v/HLbKhyztgD?f=p)
[밸류업 정책 타고…KCC·KT&G·파마리서치 - 아시아투데이](https://www.asiatoday.co.kr/kn/view.php?key=20260205010002099)","[국민연금공단, KCC 주식 1만7004주 감소…지분율 9.97% - datatooza](https://www.datatooza.com/article/20260522145135533352ef3995c6_80)",[국민연금 5월 지분 변동 공시](https://www.instagram.com/p/DZJXeZOieeM/),2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
000660,SK하이닉스,2026-07-16,semiconductor,False,9,0.75,"2025~2027년 주주환원정책에서 고정배당금 1,200원→1,500원 상향, FCF 50% 총주주환원 재원 설정. 2026년 DPS 6,770원 추정. 자사주 매입·소각은 검색 결과에서 별도 확인 안됨.

출처:
[2026년 하반기 섹터별 Top Picks - SK증권](https://file.alphasquare.co.kr/media/pdfs/market-report/%EA%B8%B0%ED%83%802026%EB%85%8420260528SK%EC%A6%9D%EA%B6%8C.pdf)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.80,"국민연금 지분율 7.6%→8.1% 상승, 지분가치 9.5조원→125.2조원으로 급증(반도체 업황 랠리 반영). 연기금 비중이 확대되는 대표 종목.

출처:
[국민연금, 국내 주식 평가액 333조 급증…삼성전자·SK하이닉스 비중 55% - 네이트뉴스](https://news.nate.com/view/20260714n02281)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: SK하이닉스(000660) 밸류업 프로그램 편입 목적 IR 자료; 반도체 업황 사이클 종목으로 밸류업(저PBR 개선) 테마보다는 실적·수급 모멘텀 성격이 강함 — 이 바스켓 내 편입 목적(밸류업 vs 성장) 재확인 필요.

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,61.50,operator,2026-07-17,final,,[2026년 하반기 섹터별 Top Picks - SK증권](https://file.alphasquare.co.kr/media/pdfs/market-report/%EA%B8%B0%ED%83%802026%EB%85%8420260528SK%EC%A6%9D%EA%B6%8C.pdf),"[국민연금, 국내 주식 평가액 333조 급증…삼성전자·SK하이닉스 비중 55% - 네이트뉴스](https://news.nate.com/view/20260714n02281)",확인 불가,2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
005930,삼성전자,2026-07-16,반도체/IT하드웨어,False,10,0.70,"2024~2026 3개년 주주환원정책: FCF 50% 환원 + 연 9.8조원 정규배당(2026.3.30 기준 주당 372원, 4회 분기배당). 3개년 정산 시점 도래로 FCF 초과분에 대한 특별배당(67조~124.8조원 추정) 가능성 제기.

출처:
[삼성전자 배당 규모…주주환원 재원만 40조원 기대감 - 인베스트조선](https://www.investchosun.com/site/data/html_dir/2026/01/09/2026010980071.html)
[경제타임스, 삼성전자 특별배당 최대 124조](https://ket.kr/news/article.html?no=38585)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.75,"국민연금 국내주식 평가액 333조원 중 삼성전자·SK하이닉스 합산 비중 55%로 압도적 — 삼성전자 단독 지분율 수치는 확인 안됐으나 연기금 최대 편입 종목군에 해당.

출처:
[국민연금 국내 주식 평가액 333조 급증 - 네이트뉴스](https://news.nate.com/view/20260714n02281)

[AI 제안 기반, 사용자 승인일 2026-07-17]",0.50,"확인 불가; 검색 키워드: 삼성전자(005930) 밸류업 프로그램 편입 목적 IR 자료; 특별배당 실현 여부·규모가 아직 시나리오 단계(67조~124.8조원 편차 큼)로 확정 근거 부족. 실현시 밸류업 대표 사례가 되나 현재는 기대감 수준.

출처:
확인 불가

[AI 제안 기반, 사용자 승인일 2026-07-17]",,,58.00,operator,2026-07-17,final,,"[삼성전자 배당 규모…주주환원 재원만 40조원 기대감 - 인베스트조선](https://www.investchosun.com/site/data/html_dir/2026/01/09/2026010980071.html)
[경제타임스, 삼성전자 특별배당 최대 124조](https://ket.kr/news/article.html?no=38585)",[국민연금 국내 주식 평가액 333조 급증 - 네이트뉴스](https://news.nate.com/view/20260714n02281),확인 불가,2026-07-17,weekly_qual_report_20260717_filled_v3.md,2026-07-17
